Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Tank.LWBTS-04.CDBLVL,DB3.REAL1160,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.DB,DB3.REAL1164,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.Dens,DB3.REAL1168,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.LI,DB3.REAL1128,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.Mode,DB3.WORD1142,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.OWSelect,DB3.X1140.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.PV,DB3.REAL1148,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.Ready,DB3.X1140.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.SP,DB3.REAL1144,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.SP_Ctrl,DB3.REAL1180,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.SPLVH,DB3.REAL1172,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.SPLVL,DB3.REAL1176,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.VI,DB3.REAL1132,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.Volume,DB3.REAL1152,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.WI,DB3.REAL1136,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.CDBLVH,DB3.REAL1532,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.CDBLVL,DB3.REAL1536,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.DB,DB3.REAL1540,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.Dens,DB3.REAL1544,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.LI,DB3.REAL1504,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.Mode,DB3.WORD1518,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.OWSelect,DB3.X1516.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.PV,DB3.REAL1524,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.Ready,DB3.X1516.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.SP,DB3.REAL1520,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.SP_Ctrl,DB3.REAL1556,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.SPLVH,DB3.REAL1548,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.SPLVL,DB3.REAL1552,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.VI,DB3.REAL1508,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.Volume,DB3.REAL1528,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-05.WI,DB3.REAL1512,Float,1,R/W,1000,,,,,,,,,,,
